formula,id,energy,stability,structure
LiMg,mp-1094568,-0.031319675833332006,0.020893197500000002,"Full Formula (Li2 Mg2)
Reduced Formula: LiMg
abc   :   5.902616   5.902616   5.355207
angles:  63.838390  63.838390  30.329352
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Li    0.625181  0.625181  0.708405         0
  1  Li    0.374819  0.374819  0.291595         0
  2  Mg    0.876323  0.876323  0.793483         0
  3  Mg    0.123677  0.123677  0.206517         0"
LiMg2,mp-1094600,-0.027757740555555,0.027992521666666003,"Full Formula (Li2 Mg4)
Reduced Formula: LiMg2
abc   :   5.885792   5.885792   7.377049
angles:  75.298850  75.298850  31.578516
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Li    0.527731  0.527731  0.195275        -0
  1  Li    0.472269  0.472269  0.804725        -0
  2  Mg    0.808249  0.808249  0.135608         0
  3  Mg    0.138693  0.138693  0.471132        -0
  4  Mg    0.861307  0.861307  0.528868        -0
  5  Mg    0.191751  0.191751  0.864392         0"
LiMg2,mp-973455,-0.045103938888888,0.010646323333333001,"Full Formula (Li2 Mg4)
Reduced Formula: LiMg2
abc   :   5.635230   5.635230   7.141238
angles:  71.662424  71.662424  35.465677
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Li    0.170176  0.170176  0.432858         0
  1  Li    0.829824  0.829824  0.567142         0
  2  Mg    0.488207  0.488207  0.736219        -0
  3  Mg    0.169111  0.169111  0.89756         -0
  4  Mg    0.830889  0.830889  0.102439        -0
  5  Mg    0.511793  0.511793  0.263781        -0"
LiMg,mp-976262,-0.041007314166667,0.011205559166666,"Full Formula (Li3 Mg3)
Reduced Formula: LiMg
abc   :   5.656821   5.656821   7.156593
angles:  71.958926  71.958926  34.338346
pbc   :       True       True       True
Sites (6)
  #  SP           a         b          c    magmom
---  ----  --------  --------  ---------  --------
  0  Li    0.157522  0.157522   0.150895        -0
  1  Li    0.5       0.5       -0               -0
  2  Li    0.842478  0.842478   0.849105        -0
  3  Mg    0.174423  0.174423   0.686817         0
  4  Mg    0.5       0.5        0.5             -0
  5  Mg    0.825577  0.825577   0.313183         0"
LiMg,mp-1094673,-0.051512453333331,0.0007004200000010001,"Full Formula (Li1 Mg1)
Reduced Formula: LiMg
abc   :   3.378185   3.378185   3.552610
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Li    0    0    0           0
  1  Mg    0.5  0.5  0.5         0"
LiMg3,mp-1094567,-0.013500748333333002,0.028311948333333004,"Full Formula (Li1 Mg3)
Reduced Formula: LiMg3
abc   :   5.322688   5.322688   5.322688
angles: 129.436116 129.436116  74.309849
pbc   :       True       True       True
Sites (4)
  #  SP       a     b    c    magmom
---  ----  ----  ----  ---  --------
  0  Li    0     0     0          -0
  1  Mg    0.5   0.5   0          -0
  2  Mg    0.25  0.75  0.5        -0
  3  Mg    0.75  0.25  0.5        -0"
LiMg2,mp-865939,-0.055750262222222007,0.0,"Full Formula (Li1 Mg2)
Reduced Formula: LiMg2
abc   :   3.453835   5.705300   3.464917
angles:  72.198870  90.000000 107.619044
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Li    0.694824  0.389646  0.213409        -0
  1  Mg    0.036141  0.072281  0.871912         0
  2  Mg    0.353752  0.707505  0.555062         0"
LiMg2,mp-1094570,-0.024159343888888,0.031590918333333,"Full Formula (Li2 Mg4)
Reduced Formula: LiMg2
abc   :   5.407581   5.407581   5.985075
angles:  62.246038  62.246038  59.921451
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Li    0.087602  0.912398  0.25            -0
  1  Li    0.912398  0.087602  0.75            -0
  2  Mg    0.244037  0.418549  0.750271         0
  3  Mg    0.581451  0.755963  0.749729         0
  4  Mg    0.418549  0.244037  0.250271         0
  5  Mg    0.755963  0.581451  0.249729         0"
LiMg2,mp-1094605,-0.022746248888889,0.033004013333333006,"Full Formula (Li2 Mg4)
Reduced Formula: LiMg2
abc   :   5.941977   5.941977   5.941977
angles:  54.292270  54.292270  54.292267
pbc   :       True       True       True
Sites (6)
  #  SP            a         b         c    magmom
---  ----  ---------  --------  --------  --------
  0  Li     0.166233  0.166233  0.166233        -0
  1  Li     0.833767  0.833767  0.833767        -0
  2  Mg     0.330415  0         0.669585        -0
  3  Mg     0.669585  0.330415  0               -0
  4  Mg     0.5       0.5       0.5             -0
  5  Mg    -0         0.669585  0.330415        -0"
LiMg,mp-1094592,-0.011370675833333,0.040842197499999004,"Full Formula (Li3 Mg3)
Reduced Formula: LiMg
abc   :   3.114748   3.114748  15.168828
angles:  90.000000  90.000000 119.999969
pbc   :       True       True       True
Sites (6)
  #  SP           a          b         c    magmom
---  ----  --------  ---------  --------  --------
  0  Li    0.333333   0.666667  0.830626        -0
  1  Li    0         -0         0.668134         0
  2  Li    0.333333   0.666667  0.166776         0
  3  Mg    0         -0         0.001573         0
  4  Mg    0.333333   0.666667  0.502534         0
  5  Mg    0         -0         0.330355         0"
LiMg2,mp-1094559,-0.009191603888888001,0.046558658333333,"Full Formula (Li2 Mg4)
Reduced Formula: LiMg2
abc   :   3.149946   3.149946  15.229897
angles:  90.000000  90.000000 120.000021
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Li    0.333333  0.666667  0.582483         0
  1  Li    0.666667  0.333333  0.417517         0
  2  Mg    0.333333  0.666667  0.915979         0
  3  Mg    0.666667  0.333333  0.746122         0
  4  Mg    0.333333  0.666667  0.253878         0
  5  Mg    0.666667  0.333333  0.084021         0"
LiMg,mp-1094853,-0.008829643333333,0.043383229999999,"Full Formula (Li2 Mg2)
Reduced Formula: LiMg
abc   :   3.136220   3.136220  10.117225
angles:  90.000000  90.000000 120.000021
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Li    0.666667  0.333333  0.624386        -0
  1  Li    0.333333  0.666667  0.375614        -0
  2  Mg    0.333333  0.666667  0.870779        -0
  3  Mg    0.666667  0.333333  0.129221        -0"
LiMg,mp-1094578,-0.022810885833333003,0.0294019875,"Full Formula (Li1 Mg1)
Reduced Formula: LiMg
abc   :   5.385433   5.385433   5.385433
angles:  33.359797  33.359797  33.359801
pbc   :       True       True       True
Sites (2)
  #  SP       a     b    c    magmom
---  ----  ----  ----  ---  --------
  0  Li    -0    -0    0           0
  1  Mg     0.5   0.5  0.5        -0"
LiMg7,mp-1016274,-0.005217091458333,0.015689256874999002,"Full Formula (Li1 Mg7)
Reduced Formula: LiMg7
abc   :   6.306181   6.306181   5.108738
angles:  90.000000  90.000000 119.999990
pbc   :       True       True       True
Sites (8)
  #  SP           a         b     c    magmom
---  ----  --------  --------  ----  --------
  0  Li    0.666667  0.333333   0.5        -0
  1  Mg    0.166595  0.333187   0.5        -0
  2  Mg    0.666813  0.833405   0.5        -0
  3  Mg    0.166595  0.833405   0.5        -0
  4  Mg    0.832112  0.167888  -0           0
  5  Mg    0.335775  0.167888   0           0
  6  Mg    0.832112  0.664225   0           0
  7  Mg    0.333333  0.666667  -0          -0"
LiMg15,mp-1023493,0.002009268645832,0.012462442812499001,"Full Formula (Li1 Mg15)
Reduced Formula: LiMg15
abc   :   6.329370   6.329370  10.272958
angles:  90.000000  90.000000 120.000088
pbc   :       True       True       True
Sites (16)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Li    0         0         0                0
  1  Mg    0         0         0.5             -0
  2  Mg    0.000267  0.500133  0               -0
  3  Mg    5.3e-05   0.500026  0.5              0
  4  Mg    0.499867  0.500133  0               -0
  5  Mg    0.499974  0.500026  0.5             -0
  6  Mg    0.499867  0.999733  0               -0
  7  Mg    0.499974  0.999947  0.5              0
  8  Mg    0.16611   0.33222   0.750129        -0
  9  Mg    0.16611   0.33222   0.249871        -0
 10  Mg    0.16611   0.83389   0.750129        -0
 11  Mg    0.16611   0.83389   0.249871        -0
 12  Mg    0.66778   0.83389   0.750129        -0
 13  Mg    0.66778   0.83389   0.249871        -0
 14  Mg    0.666667  0.333333  0.749647        -0
 15  Mg    0.666667  0.333333  0.250353        -0"
LiMg,mp-1094580,-0.007743540833333001,0.044469332499999,"Full Formula (Li3 Mg3)
Reduced Formula: LiMg
abc   :   3.135932   3.135932  15.198304
angles:  90.000000  90.000000 119.994988
pbc   :       True       True       True
Sites (6)
  #  SP           a          b         c    magmom
---  ----  --------  ---------  --------  --------
  0  Li    0         -0         0.665998         0
  1  Li    0.666677   0.333323  0.5             -0
  2  Li    0         -0         0.334002         0
  3  Mg    1e-06     -1e-06     0                0
  4  Mg    0.666661   0.333339  0.829254         0
  5  Mg    0.666661   0.333339  0.170746         0"
LiMg2,mp-1094581,-0.017098953888888,0.038651308333333,"Full Formula (Li2 Mg4)
Reduced Formula: LiMg2
abc   :   3.122475   3.122475  15.235435
angles:  90.000000  90.000000 120.000013
pbc   :       True       True       True
Sites (6)
  #  SP           a          b         c    magmom
---  ----  --------  ---------  --------  --------
  0  Li    0.666667   0.333333  0.666787         0
  1  Li    0.666667   0.333333  0.333213         0
  2  Mg    0.666666   0.333334  0                0
  3  Mg    1e-06     -1e-06     0.829068         0
  4  Mg    0         -0         0.5             -0
  5  Mg    1e-06     -1e-06     0.170932         0"
LiMg5,mp-1094588,-0.010875251944444001,0.016999879166667002,"Full Formula (Li1 Mg5)
Reduced Formula: LiMg5
abc   :   3.172874   3.172874  15.118727
angles:  90.000000  90.000000 120.000178
pbc   :       True       True       True
Sites (6)
  #  SP           a          b          c    magmom
---  ----  --------  ---------  ---------  --------
  0  Li    0.666667   0.333333  -0               -0
  1  Mg    0         -0          0.836337         0
  2  Mg    0.666667   0.333333   0.667804        -0
  3  Mg    0         -0          0.5             -0
  4  Mg    0.666667   0.333333   0.332196        -0
  5  Mg    0         -0          0.163663         0"
LiMg3,mp-1094665,-0.020469882916666002,0.021342813750000002,"Full Formula (Li1 Mg3)
Reduced Formula: LiMg3
abc   :   3.146174   3.146174  10.121600
angles:  90.000000  90.000000 120.000341
pbc   :       True       True       True
Sites (4)
  #  SP            a         b          c    magmom
---  ----  ---------  --------  ---------  --------
  0  Li     0.666667  0.333333   0.5              0
  1  Mg     0.666667  0.333333  -0               -0
  2  Mg    -0         0          0.742565        -0
  3  Mg    -0         0          0.257435        -0"
