system,formula,element_A,element_B,ratio_A,ratio_B,total_atoms,energy_per_atom,energy_above_hull,is_stable,md_performed,md_avg_temperature,md_temp_fluctuation,md_avg_energy_per_atom,md_volume_change_percent,md_thermally_stable
Cu-Ni,Cu,Cu,Ni,1.0,0.0,256,,0.0,True,True,996.3050357101916,5.626442668618288,-3.9516898084569863,6.574165994760153,True
Cu-Ni,Ni,Ni,Ni,1.0,0.0,256,,0.0,True,True,990.3145279759133,6.225192651720059,-5.632752860033953,3.1298691531973963,True
Cu-Ni,Cu231Ni25,Cu,Ni,0.90234375,0.09765625,256,,0.002479979768395424,True,True,997.3387264606854,5.0002520114858475,-4.1144060911955656,5.06164966347176,True
Cu-Ni,Cu205Ni51,Cu,Ni,0.80078125,0.19921875,256,,0.01019786112010479,True,True,994.2105166205632,4.965438126920216,-4.278513508078492,4.0995457739599495,True
Cu-Ni,Cu45Ni19,Cu,Ni,0.703125,0.296875,256,,0.019721202552318573,True,True,991.3391171323269,5.498475883438923,-4.435851721116054,0.3395566859693243,True
Cu-Ni,Cu77Ni51,Cu,Ni,0.6015625,0.3984375,256,,0.032045330852270126,True,True,995.5052885777819,6.432235621822237,-4.596153100331624,1.2857055922165435,True
Cu-Ni,CuNi,Cu,Ni,0.5,0.5,256,,0.0425260066986084,True,True,993.8655566322467,5.87135066702653,-4.759212022946205,-0.6210399176395214,True
Cu-Ni,Cu103Ni153,Cu,Ni,0.40234375,0.59765625,256,,0.053049275651574135,False,False,,,,,
Cu-Ni,Cu77Ni179,Cu,Ni,0.30078125,0.69921875,256,,0.060714228078722954,False,False,,,,,
Cu-Ni,Cu13Ni51,Cu,Ni,0.203125,0.796875,256,,0.06206744164228439,False,False,,,,,
Cu-Ni,Cu13Ni115,Cu,Ni,0.1015625,0.8984375,256,,0.05743667110800743,False,False,,,,,
