system,formula,element_A,element_B,ratio_A,ratio_B,total_atoms,lattice_a,density,energy_per_atom,energy_above_hull,is_stable,md_performed,md_avg_temperature,md_temp_fluctuation,md_avg_energy_per_atom,md_volume_change_percent,md_thermally_stable
Cu-Ni,Cu,Cu,Ni,1.0,0.0,256,14.44,8.9717,,0.0,True,True,994.5515625350968,5.110860684941997,-3.9511090090245378,5.526795732458272,True
Cu-Ni,Ni,Ni,Ni,1.0,0.0,256,14.08,8.9386,,0.0,True,True,996.4748223253814,5.106422191223326,-5.633540430186708,3.4959328356923303,True
Cu-Ni,Cu231Ni25,Cu,Ni,0.90234375,0.09765625,256,14.44,8.9048,,0.0026954635977745,True,True,994.1068716415124,4.64146674764672,-4.113841439470833,4.69049661978003,True
Cu-Ni,Cu205Ni51,Cu,Ni,0.80078125,0.19921875,256,14.44,8.8352,,0.0104376152157783,True,True,993.135151580891,5.762716178491056,-4.277560734454497,4.290013687712211,True
Cu-Ni,Cu45Ni19,Cu,Ni,0.703125,0.296875,256,14.44,8.7683,,0.0202884972095489,True,True,988.7717613477132,5.952768315425963,-4.433936336894094,2.611622224690171,True
Cu-Ni,Cu77Ni51,Cu,Ni,0.6015625,0.3984375,256,14.44,8.6988,,0.0308315902948379,True,True,997.3848211031648,4.873690220349349,-4.597650398442775,3.91241685280411,True
Cu-Ni,CuNi,Cu,Ni,0.5,0.5,256,14.44,8.6292,,0.0417542457580566,True,True,995.8718856900948,4.527042255112777,-4.760035697324776,-3.441668535751199,True
Cu-Ni,Cu103Ni153,Cu,Ni,0.40234375,0.59765625,256,14.44,8.5623,,0.0529655441641807,False,False,,,,,
Cu-Ni,Cu77Ni179,Cu,Ni,0.30078125,0.69921875,256,14.44,8.4927,,0.0573970153927803,False,False,,,,,
Cu-Ni,Cu13Ni51,Cu,Ni,0.203125,0.796875,256,14.44,8.4258,,0.0624032318592071,False,False,,,,,
Cu-Ni,Cu13Ni115,Cu,Ni,0.1015625,0.8984375,256,14.44,8.3562,,0.0578792244195938,False,False,,,,,
Os-Re,Os,Os,Re,1.0,0.0,256,16.0,19.7428,,0.0,True,True,989.0080907607319,5.456724316433803,-10.927008734809029,-8.629981098484325,True
Os-Re,Re,Re,Re,1.0,0.0,256,16.0,19.3253,,0.0,True,True,996.9655783030147,6.113898996831401,-12.23843428529339,-7.3355362694657975,True
Os-Re,Re25Os231,Re,Os,0.09765625,0.90234375,256,16.0,19.702,,0.0,True,True,993.1082879953984,6.524439565925986,-11.081332512843757,-10.932942876132321,True
Os-Re,Re51Os205,Re,Os,0.19921875,0.80078125,256,16.0,19.6596,,0.0,True,True,992.82815605552,7.551968123696673,-11.234390553132988,-10.736395692417563,True
Os-Re,Re19Os45,Re,Os,0.296875,0.703125,256,16.0,19.6188,,0.0,True,True,1014.5073265197975,6.885187375413647,-11.375371768150801,-1.2542345916968245,True
Os-Re,Re51Os77,Re,Os,0.3984375,0.6015625,256,16.0,19.5764,,0.0,True,True,995.985923828803,6.121670599625211,-11.50202101248282,-11.990634799197506,True
Os-Re,ReOs,Re,Os,0.5,0.5,256,16.0,19.534,,0.0,True,True,996.8857652271142,8.018527804712303,-11.637967733689296,0.21190040556845496,True
Os-Re,Re153Os103,Re,Os,0.59765625,0.40234375,256,16.0,19.4932,,0.0,True,True,994.5767124386007,6.19588304316495,-11.757783407046471,-10.658534177476096,True
Os-Re,Re179Os77,Re,Os,0.69921875,0.30078125,256,16.0,19.4508,,0.0007882024727621229,True,True,991.8821648407642,5.595210445250927,-11.880827550534848,1.4727068730809323,True
Os-Re,Re51Os13,Re,Os,0.796875,0.203125,256,16.0,19.4101,,0.0,True,True,997.2448973204419,6.314045547996224,-12.003806067101749,-2.8318924130076217,True
Os-Re,Re115Os13,Re,Os,0.8984375,0.1015625,256,16.0,19.3677,,0.0,True,True,996.5941751465741,6.310375819031833,-12.122764234189633,-8.503154420215427,True
